The_Thrust_InNewtons_Of_The_Engine_At_Different_RPM_And_Altitude.
72 
H(m)	V(m/s)	RPM	Fp_3d(N)	dm_dt(g/s)
0	20	3000	122.7005855	1
0	20	4000	245.6899869	1.69
0	20	5000	405.441949	3
0	20	6000	602.1454834	4
0	20	7000	836.277674	5
0	30	3000	72.9268587	0.9
0	30	4000	202.0088786	1.69
0	30	5000	358.9695214	2.9
0	30	6000	552.8024705	3.9
0	30	7000	782.9858059	4.9
0	40	4000	129.6477488	1.5
0	40	5000	299.1342963	2.8
0	40	6000	490.8023421	3.8
0	40	7000	718.3683626	4.8
1000	20	3000	111.3459671	0.95
1000	20	4000	222.9540231	1.6
1000	20	5000	367.9226606	2.9
1000	20	6000	546.4234002	3.9
1000	20	7000	758.8891767	4.9
1000	30	3000	66.17826289	0.85
1000	30	4000	183.3151313	1.6
1000	30	5000	325.7507561	2.8
1000	30	6000	501.6465521	3.8
1000	30	7000	710.5288974	4.8
1000	40	4000	117.6502451	1.4
1000	40	5000	271.452637	2.7
1000	40	6000	445.3838682	3.7
1000	40	7000	651.8911029	4.7
2000	30	3000	59.91816553	0.8
2000	30	4000	165.9745345	1.55
2000	30	5000	294.9365377	2.75
2000	30	6000	454.193565	3.75
2000	30	7000	643.3167967	4.75
2000	40	4000	106.5211832	1.35
2000	40	5000	245.7747201	2.65
2000	40	6000	403.2530196	3.65
2000	40	7000	590.225813	4.65
3000	30	3000	54.12150382	0.75
3000	30	4000	149.917664	1.5
3000	30	5000	266.403499	2.7
3000	30	6000	410.2535274	3.7
3000	30	7000	581.0804145	4.7
3000	42	3500	34.41823292	0.6
3000	40	5000	221.997742	2.6
3000	40	6000	364.241122	3.6
3000	40	7000	533.1256107	4.6
4000	30	3000	48.76394765	0.7
4000	30	4000	135.0771246	1.45
4000	30	5000	240.0318794	2.65
4000	30	6000	369.6420114	3.65
4000	30	7000	523.5585288	4.65
4000	40	4000	86.69146249	1.3
4000	40	5000	200.0219045	2.55
4000	40	6000	328.1844323	3.55
4000	40	7000	480.3508317	4.55
4000	60	5000	63.2880173	1
4000	60	6000	195.0557906	2.5
4000	60	7000	361.0804056	3.5
4000	60	7500	450.0492852	4.1
5000	30	3000	43.82189519	0.65
5000	30	4000	121.387539	1.4
5000	30	5000	215.7055031	2.6
5000	30	6000	332.1801097	3.6
5000	30	7000	470.4977361	4.6
5000	40	4000	77.90559144	1.25
5000	40	5000	179.7503967	2.5
5000	40	6000	294.9241086	3.5
5000	40	7000	431.6689852	4.5
5000	60	5000	56.87400209	0.95
5000	60	6000	175.2875807	2.45
5000	60	7000	324.4861922	3.45
5000	60	7500	404.4383926	4.05
